0	25838	2
65537	8706,34409	23,23
43691	72556	2
65540	51740,78227,20707	23,23,23
65541	55403,10410,55403	2,14,2
1	8771	14
65544	64755,17461,64755	2,14,2
65546	3625,73843,3625	14,2,14
65547	74160,11450,45232,64337,13734	23,23,23,23,23
65548	15062,15991,15062	2,14,2
13	3835	23
65550	67914,15552,67914	14,2,14
65551	14367	2
65554	4205	2
65555	56425	2
65556	35436	2
21	65851	2
65558	33340,39865,71317	23,23,23
65559	3231	2
65560	44781,45848,19402,26002,31931,2760,18599	23,23,23,23,23,23,23
25	61151	2
26	2405	14
65563	2733,54223	7,2
65564	19775,4217,28920,40975,58015,65939,47766,70811	23,23,23,23,23,23,23,23
65565	7526,70046,7526	2,14,2
30	54060	2
31	76733,29569	23,23
76380	1303	2
65569	47109	2
34	37097	2
36	26228,23459,26228	14,2,14
65573	39200,45745,39200	14,2,14
39	39461,30538,72142	0,2,14
65576	45980,24144,33361,75887	23,23,23,23
41	5749	2
42	36907,37412,47956,22511,46570,54677,53803,51045,47462	23,23,23,23,23,23,23,23,23
12790	64350	2
45	1460	2
46	16580	2
47	37716	2
49	73989,60890,73989	2,14,2
50	32593,62260,32507,1044,37672,32030	23,23,23,23,23,23
65588	16925,57680,16925	2,14,2
55	51447	2
56	2847	2
44518	69052	2
58	54060	2
10	15905	2
26536	12820	2
63	64054	2
64	34271,76637,2733,34271,76637	14,2,7,14,2
65	43979,36766,40267	2,14,7
66	40525	23
11	21078	2
68	75052	2
70	21315	14
72	73150	2
74	53211,40267,31428,8831,53211,40267,31428	2,7,7,14,2,7,7
75	11673,72522,11673	2,14,2
78	35586	2
79	64928,26213,37352,3703,39248	23,23,23,23,23
65617	28914	2
82	46983	2
83	13606	2
65620	72502,15708,51990	23,23,23
65621	23519,64189,23519	14,2,14
86	53165	2
65623	59962	2
65625	37715	2
91	58803,18917,26293	23,23,23
22608	41479	2
93	55975	23
65630	58159,20034,15845,37394,37505,18408,26822	23,23,23,23,23,23,23
65631	32840,42676,20176,15817,51901,2268,19275,33568,70443,26699	23,23,23,23,23,23,23,23,23,23
65632	64511	23
97	72495	14
98	65973,18844,65973	2,14,2
99	2733,44010,16967,2733,44010	7,14,2,7,14
65636	29628	2
65637	25961,12514,6564,37920,20125	23,23,23,23,23
102	62832	2
103	54271,22104,54271	14,2,14
65640	49224,28552,69798,51676	23,23,23,23
105	71327,55795,71327	14,2,14
21826	31851	2
109	38663	2
110	22104	2
65647	4569,36558,4569	14,2,14
113	52915	2
65650	8152	2
19	45167	2
65652	68727,24063,68727	14,2,14
10915	4949	2
118	31796	2
65655	33394,69056,33394	2,14,2
65656	26786	14
65658	30613,30276,66835,74054	23,23,23,23
65659	30198	2
124	30189	2
65661	73566	2
126	72262,17431,72262	2,14,2
65663	78882,26651,78882	14,2,14
128	13195	23
65665	9402,63639	23,23
130	36999,66172,36999	2,14,2
131	52804	2
6551	22668	2
133	7162,67825,77488	23,23,23
135	11375,72651,11375	2,14,2
65673	34126,11503,34126	2,14,2
138	54033,34520,8544,54033,34520	14,2,2,14,2
13098	73989	2
65676	2733,40322,20994,544,2733,40322,20994	7,2,14,2,7,2,14
65677	49092,38031	23,23
65678	57651	2
144	73966,41959,60234,33530,40372	23,23,23,23,23
145	55124	23
146	74191,34383,63724	23,23,23
147	3725	2
148	57630,53242,75369,67982,57630,53242,75369	1,12,1,1,1,12,1
65685	60850	2
65687	5165	2
152	33218,61560,25910,73802,4970,23494,29386	23,23,23,23,23,23,23
76484	36524	23
65690	33172	2
155	58897	2
65692	44724,3938	23,23
65693	75049,14498,56247,6958,47355,14000,13746	23,23,23,23,23,23,23
158	60203	2
159	4887	2
